id,full_name,team_id,team_abbreviation,age,gp,min,pts,reb,ast,PERSON_ID,FIRST_NAME,LAST_NAME,DISPLAY_FIRST_LAST,DISPLAY_LAST_COMMA_FIRST,DISPLAY_FI_LAST,PLAYER_SLUG,BIRTHDATE,SCHOOL,COUNTRY,LAST_AFFILIATION,HEIGHT,WEIGHT,SEASON_EXP,JERSEY,POSITION,ROSTERSTATUS,GAMES_PLAYED_CURRENT_SEASON_FLAG,TEAM_ID,TEAM_NAME,TEAM_ABBREVIATION,TEAM_CODE,TEAM_CITY,PLAYERCODE,FROM_YEAR,TO_YEAR,DLEAGUE_FLAG,NBA_FLAG,GAMES_PLAYED_FLAG,DRAFT_YEAR,DRAFT_ROUND,DRAFT_NUMBER,GREATEST_75_FLAG,headline_stats
1630639,A.J. Lawson,1610612742,DAL,23.0,42,310.9,136,50,20,1630639,A.J.,Lawson,A.J. Lawson,"Lawson, A.J.",A. Lawson,aj-lawson,2000-07-15T00:00:00,South Carolina,Canada,South Carolina/Canada,6-6,179,2,0,Guard,Active,Y,1610612761,Raptors,TOR,raptors,Toronto,aj_lawson,2022,2024,Y,Y,Y,Undrafted,Undrafted,Undrafted,N,"{'PLAYER_ID': 1630639, 'PLAYER_NAME': 'A.J. Lawson', 'TimeFrame': '2024-25', 'PTS': 9.5, 'AST': 1.1, 'REB': 3.3, 'PIE': 0.078}"
1631260,AJ Green,1610612749,MIL,24.0,56,614.2816666666666,252,64,30,1631260,AJ,Green,AJ Green,"Green, AJ",A. Green,aj-green,1999-09-27T00:00:00,Northern Iowa,USA,Northern Iowa/USA,6-4,190,2,20,Guard,Active,Y,1610612749,Bucks,MIL,bucks,Milwaukee,aj_green,2022,2024,Y,Y,Y,Undrafted,Undrafted,Undrafted,N,"{'PLAYER_ID': 1631260, 'PLAYER_NAME': 'AJ Green', 'TimeFrame': '2024-25', 'PTS': 7.5, 'AST': 1.4, 'REB': 2.2, 'PIE': 0.058}"
1631100,AJ Griffin,1610612737,ATL,20.0,20,170.73,48,18,5,1631100,AJ,Griffin,AJ Griffin,"Griffin, AJ",A. Griffin,aj-griffin,2003-08-25T00:00:00,Duke,USA,Duke/USA,6-6,220,3,14,Forward,Inactive,N,1610612737,Hawks,ATL,hawks,Atlanta,aj_griffin,2022,2023,Y,Y,Y,2022,1,16,N,"{'PLAYER_ID': 1631100, 'PLAYER_NAME': 'AJ Griffin', 'TimeFrame': 'career', 'PTS': 7.5, 'AST': 0.8, 'REB': 1.9, 'ALL_STAR_APPEARANCES': 0}"
203932,Aaron Gordon,1610612743,DEN,28.0,73,2296.81,1013,471,259,203932,Aaron,Gordon,Aaron Gordon,"Gordon, Aaron",A. Gordon,aaron-gordon,1995-09-16T00:00:00,Arizona,USA,Arizona/USA,6-8,235,10,32,Forward,Active,Y,1610612743,Nuggets,DEN,nuggets,Denver,aaron_gordon,2014,2024,N,Y,Y,2014,1,4,N,"{'PLAYER_ID': 203932, 'PLAYER_NAME': 'Aaron Gordon', 'TimeFrame': '2024-25', 'PTS': 13.2, 'AST': 3.0, 'REB': 4.8, 'PIE': 0.1}"
1628988,Aaron Holiday,1610612745,HOU,27.0,78,1269.2966666666666,514,123,140,1628988,Aaron,Holiday,Aaron Holiday,"Holiday, Aaron",A. Holiday,aaron-holiday,1996-09-30T00:00:00,UCLA,USA,UCLA/USA,6-0,185,6,0,Guard,Active,Y,1610612745,Rockets,HOU,rockets,Houston,aaron_holiday,2018,2024,N,Y,Y,2018,1,23,N,"{'PLAYER_ID': 1628988, 'PLAYER_NAME': 'Aaron Holiday', 'TimeFrame': '2024-25', 'PTS': 5.3, 'AST': 1.3, 'REB': 1.3, 'PIE': 0.079}"
1630174,Aaron Nesmith,1610612754,IND,24.0,72,1994.655,877,275,108,1630174,Aaron,Nesmith,Aaron Nesmith,"Nesmith, Aaron",A. Nesmith,aaron-nesmith,1999-10-16T00:00:00,Vanderbilt,USA,Vanderbilt/USA,6-6,215,4,23,Guard-Forward,Active,Y,1610612754,Pacers,IND,pacers,Indiana,aaron_nesmith,2020,2024,Y,Y,Y,2020,1,14,N,"{'PLAYER_ID': 1630174, 'PLAYER_NAME': 'Aaron Nesmith', 'TimeFrame': '2024-25', 'PTS': 11.2, 'AST': 1.4, 'REB': 3.7, 'PIE': 0.081}"
1630598,Aaron Wiggins,1610612760,OKC,25.0,78,1227.9383333333333,542,186,86,1630598,Aaron,Wiggins,Aaron Wiggins,"Wiggins, Aaron",A. Wiggins,aaron-wiggins,1999-01-02T00:00:00,Maryland,USA,Maryland/USA,6-5,190,3,21,Guard,Active,Y,1610612760,Thunder,OKC,thunder,Oklahoma City,aaron_wiggins,2021,2024,Y,Y,Y,2021,2,55,N,"{'PLAYER_ID': 1630598, 'PLAYER_NAME': 'Aaron Wiggins', 'TimeFrame': '2024-25', 'PTS': 11.4, 'AST': 1.6, 'REB': 3.8, 'PIE': 0.103}"
1641745,Adam Flagler,1610612760,OKC,24.0,2,14.016666666666667,3,0,4,1641745,Adam,Flagler,Adam Flagler,"Flagler, Adam",A. Flagler,adam-flagler,1999-12-01T00:00:00,Baylor,USA,Baylor/USA,6-3,180,1,14,Guard,Active,Y,1610612760,Thunder,OKC,thunder,Oklahoma City,adam_flagler,2023,2024,Y,Y,Y,Undrafted,Undrafted,Undrafted,N,"{'PLAYER_ID': 1641745, 'PLAYER_NAME': 'Adam Flagler', 'TimeFrame': '2024-25', 'PTS': 1.3, 'AST': 0.0, 'REB': 0.3, 'PIE': -0.023}"
1641766,Adama Sanogo,1610612741,CHI,22.0,9,65.76166666666667,36,36,0,1641766,Adama,Sanogo,Adama Sanogo,"Sanogo, Adama",A. Sanogo,adama-sanogo,2002-02-12T00:00:00,Connecticut,Mali,Connecticut/Mali,6-9,245,1,,Forward,Inactive,Y,0,,,,,adama_sanogo,2023,2024,Y,Y,Y,Undrafted,Undrafted,Undrafted,N,"{'PLAYER_ID': 1641766, 'PLAYER_NAME': 'Adama Sanogo', 'TimeFrame': '2024-25', 'PTS': 2.0, 'AST': 0.3, 'REB': 1.5, 'PIE': 0.078}"
1629678,Admiral Schofield,1610612753,ORL,27.0,23,84.35833333333333,26,17,7,1629678,Admiral,Schofield,Admiral Schofield,"Schofield, Admiral",A. Schofield,admiral-schofield,1997-03-30T00:00:00,Tennessee,United Kingdom,Tennessee/United Kingdom,6-5,241,5,25,Forward,Inactive,N,1610612753,Magic,ORL,magic,Orlando,admiral_schofield,2019,2023,Y,Y,Y,2019,2,42,N,"{'PLAYER_ID': 1629678, 'PLAYER_NAME': 'Admiral Schofield', 'TimeFrame': 'career', 'PTS': 3.3, 'AST': 0.6, 'REB': 1.6, 'ALL_STAR_APPEARANCES': 0}"
